score,id_hex,id_dec,floor,kind,n_levels,levels,n_cohorts,cohort_ids,n_clusters,cluster_ids,visual_role,visual_name_guess,attack_hint,reasons
14.0,0xc00200c9,3221356745,14,audio,1,MEGA,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0xc48c7158,3297538392,14,sprite,1,EVIL,1,C0315,2,K0091;K0270,,,dictionary,single-level (vocab constrained)
14.0,0xca282402,3391628290,14,sprite,1,WIZZ,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0xd0a14440,3500229696,14,audio,1,BRG1,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0x0239cb33,37342003,15,sprite,1,HEAD,1,C0149,0,,,,dictionary,single-level (vocab constrained)
14.0,0x024d704e,38629454,15,sprite,1,WIZZ,1,C0088,0,,,,dictionary,single-level (vocab constrained)
14.0,0x02a48626,44336678,15,audio,1,FINN,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0x02ed1470,49091696,15,sprite,1,WIZZ,1,C0092,1,K0193,,,dictionary,single-level (vocab constrained)
14.0,0x083488e2,137660642,15,sprite,1,KLOG,1,C0131,0,,,,dictionary,single-level (vocab constrained)
14.0,0x0b0811bb,185078203,15,sprite,1,HEAD,1,C0125,1,K0120,,,dictionary,single-level (vocab constrained)
14.0,0x12308128,305168680,15,sprite,1,RUNN,1,C0062,0,,,,dictionary,single-level (vocab constrained)
14.0,0x1a2c8516,439125270,15,sprite,1,KLOG,1,C0131,0,,,,dictionary,single-level (vocab constrained)
14.0,0x1b280858,455608408,15,sprite,1,KLOG,1,C0253,0,,,,dictionary,single-level (vocab constrained)
14.0,0x1b280c33,455609395,15,sprite,1,KLOG,1,C0252,1,K0205,,,dictionary,single-level (vocab constrained)
14.0,0x262e0319,640549657,15,sprite,1,EVIL,1,C0159,2,K0087;K0266,,,dictionary,single-level (vocab constrained)
14.0,0x2b3889b2,725125554,15,sprite,1,HEAD,1,C0126,2,K0212;K0272,,,dictionary,single-level (vocab constrained)
14.0,0x3eb98520,1052345632,15,sprite,1,RUNN,1,C0240,0,,,,dictionary,single-level (vocab constrained)
14.0,0x40864668,1082541672,15,audio,1,BRG1,1,C0026,0,,,,dictionary,single-level (vocab constrained)
14.0,0x42590440,1113130048,15,audio,1,MENU,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0x502141c3,1344356803,15,audio,1,MEGA,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0x5238cd10,1379454224,15,sprite,1,RUNN,1,C0243,0,,,,dictionary,single-level (vocab constrained)
14.0,0x52ee0118,1391329560,15,sprite,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,0,,12,K0002;K0012;K0022;K0061;K0065;K0067;K0071;K0083;K0315;K0316;K0325;K0336,,,dictionary,cluster has 4 visual labels | common asset (likely generic name)
14.0,0x542a8850,1412073552,15,sprite,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,0,,6,K0002;K0007;K0061;K0063;K0131;K0311,,,dictionary,cluster has 2 visual labels | common asset (likely generic name)
14.0,0x56a1c2c0,1453441728,15,audio,1,GLEN,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0x60b9bcbd,1622785213,15,sprite,1,BRG1,1,C0049,2,K0134;K0217,,,dictionary,single-level (vocab constrained)
14.0,0x71030240,1896022592,15,audio,1,BRG1,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0x7622c165,1981989221,15,audio,1,GLEN,0,,1,K0218,,,dictionary,single-level (vocab constrained)
14.0,0x78d909e0,2027489760,15,sprite,1,SNOW,1,C0137,0,,,,dictionary,single-level (vocab constrained)
14.0,0x8139a088,2168037512,15,sprite,1,EGGS,1,C0228,1,K0204,,,dictionary,single-level (vocab constrained)
14.0,0x8c30008c,2351956108,15,sprite,1,BRG1,1,C0025,0,,,,dictionary,single-level (vocab constrained)
14.0,0x908254e5,2424460517,15,audio,1,PHRO,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0x9299c307,2459550471,15,sprite,1,MOSS,1,C0298,0,,,,dictionary,single-level (vocab constrained)
14.0,0x9c6584d2,2623898834,15,sprite,1,BRG1,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0xa116220c,2702582284,15,sprite,1,HEAD,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0xc89e9158,3365835096,15,sprite,1,EVIL,1,C0314,2,K0265;K0270,,,dictionary,single-level (vocab constrained)
14.0,0xd0b04444,3501212740,15,audio,1,FINN,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0xed209c94,3978337428,15,sprite,1,CSTL,0,,1,K0138,,,dictionary,single-level (vocab constrained)
14.0,0xf2810224,4068540964,15,audio,1,HEAD,1,C0123,0,,,,dictionary,single-level (vocab constrained)
14.0,0x0434ce72,70569586,16,audio,1,CLOU,0,,3,K0098;K0188;K0196,,,dictionary,single-level (vocab constrained)
14.0,0x082e03d8,137233368,16,sprite,1,EVIL,1,C0159,2,K0261;K0266,,,dictionary,single-level (vocab constrained)
14.0,0x08b9135c,146346844,16,sprite,1,GLEN,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0x10965446,278287430,16,audio,1,FOOD,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0x10b9181c,280565788,16,sprite,1,FINN,0,,6,K0000;K0048;K0149;K0226;K0252;K0276,,,dictionary,single-level (vocab constrained)
14.0,0x10b95a1c,280582684,16,sprite,1,FINN,0,,9,K0000;K0019;K0043;K0229;K0244;K0252;K0283;K0291;K0302,,,dictionary,single-level (vocab constrained)
14.0,0x10b95c1c,280583196,16,sprite,1,FINN,0,,8,K0000;K0048;K0150;K0226;K0255;K0287;K0295;K0301,,,dictionary,single-level (vocab constrained)
14.0,0x1e181d10,504896784,16,sprite,1,RUNN,1,C0242,0,,,,dictionary,single-level (vocab constrained)
14.0,0x212a9c2d,556440621,16,sprite,1,TMPL,2,C0059;C0060,0,,,,dictionary,single-level (vocab constrained)
14.0,0x302016c4,807409348,16,audio,1,HEAD,0,,1,K0124,,,dictionary,single-level (vocab constrained)
14.0,0x3a3a49b2,976898482,16,sprite,1,HEAD,1,C0148,0,,,,dictionary,single-level (vocab constrained)
14.0,0x407801dc,1081606620,16,sprite,1,GLEN,1,C0104,1,K0127,,,dictionary,single-level (vocab constrained)
14.0,0x421d1000,1109200896,16,audio,1,MENU,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0x422a0225,1110049317,16,sprite,1,CLOU,1,C0165,0,,,,dictionary,single-level (vocab constrained)
14.0,0x424d1840,1112348736,16,sprite,1,WIZZ,1,C0095,1,K0195,,,dictionary,single-level (vocab constrained)
14.0,0x51200640,1361053248,16,audio,1,FOOD,1,C0061,1,K0132,,,dictionary,single-level (vocab constrained)
14.0,0x52186e1c,1377332764,16,sprite,1,FOOD,1,C0066,0,,,,dictionary,single-level (vocab constrained)
14.0,0x60a91c9c,1621695644,16,sprite,1,BRG1,0,,2,K0056;K0133,,,dictionary,single-level (vocab constrained)
14.0,0x60aa1c9c,1621761180,16,sprite,1,BRG1,0,,2,K0057;K0133,,,dictionary,single-level (vocab constrained)
14.0,0x60b93cbd,1622752445,16,sprite,1,BRG1,1,C0049,1,K0217,,,dictionary,single-level (vocab constrained)
14.0,0x7623c165,1982054757,16,audio,1,GLEN,0,,1,K0218,,,dictionary,single-level (vocab constrained)
14.0,0xd4a094c0,3567293632,16,audio,1,FOOD,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0xd89c319a,3634114970,16,sprite,1,EVIL,1,C0313,2,K0091;K0265,,,dictionary,single-level (vocab constrained)
12.0,0x00388110,3703056,11,sprite,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,4,C0172;C0197;C0198;C0227,0,,,,exhaustive-floor+2,floor 11 (medium) | common asset (likely generic name)
12.0,0x00e49240,14979648,11,audio,22,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,0,,0,,,,exhaustive-floor+2,floor 11 (medium) | common asset (likely generic name)
12.0,0x08208902,136349954,11,sprite,22,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,2,C0207;C0239,0,,,,exhaustive-floor+2,floor 11 (medium) | common asset (likely generic name)
12.0,0x0a3a4051,171589713,11,sprite,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,1,C0208,0,,,,exhaustive-floor+2,floor 11 (medium) | common asset (likely generic name)
12.0,0x0e0ac230,235586096,11,sprite,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,1,C0209,0,,,,exhaustive-floor+2,floor 11 (medium) | common asset (likely generic name)
12.0,0x146ce002,342679554,11,audio,24,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,4,C0168;C0235;C0246;C0251,0,,,,exhaustive-floor+2,floor 11 (medium) | common asset (likely generic name)
12.0,0x18298210,405373456,11,sprite,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,1,C0187,0,,,,exhaustive-floor+2,floor 11 (medium) | common asset (likely generic name)
12.0,0x1c3aa013,473604115,11,sprite,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,5,C0199;C0200;C0202;C0203;C0218,0,,,,exhaustive-floor+2,floor 11 (medium) | common asset (likely generic name)
12.0,0x1e089010,503877648,11,sprite,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,2,C0193;C0194,0,,,,exhaustive-floor+2,floor 11 (medium) | common asset (likely generic name)
12.0,0x3838801a,943226906,11,sprite,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,3,C0198;C0199;C0223,0,,,,exhaustive-floor+2,floor 11 (medium) | common asset (likely generic name)
12.0,0x4a60ca40,1247857216,11,audio,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,0,,0,,,,exhaustive-floor+2,floor 11 (medium) | common asset (likely generic name)
12.0,0x5860c640,1482737216,11,audio,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,2,C0165;C0290,0,,,,exhaustive-floor+2,floor 11 (medium) | common asset (likely generic name)
12.0,0x88a28194,2292351380,11,sprite,26,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,2,C0004;C0027,0,,,,exhaustive-floor+2,floor 11 (medium) | common asset (likely generic name)
12.0,0x01a5b0d3,27635923,12,audio,22,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,1,C0079,0,,,,dictionary,floor 12 (medium) | common asset (likely generic name)
12.0,0x1a28c11a,438878490,12,sprite,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,1,C0211,0,,,,dictionary,floor 12 (medium) | common asset (likely generic name)
12.0,0x44d4c8d8,1154795736,12,audio,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,2,C0068;C0290,0,,,,dictionary,floor 12 (medium) | common asset (likely generic name)
12.0,0x50f08207,1357939207,12,audio,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,3,C0179;C0180;C0181,0,,,,dictionary,floor 12 (medium) | common asset (likely generic name)
12.0,0x5900c41e,1493222430,12,sprite,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,2,C0184;C0185,0,,,,dictionary,floor 12 (medium) | common asset (likely generic name)
12.0,0xe8628689,3898771081,12,sprite,26,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,2,C0004;C0007,0,,,,dictionary,floor 12 (medium) | common asset (likely generic name)
12.0,0x1cf99931,486119729,13,sprite,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,0,,1,K0053,,,dictionary,floor 13 (medium) | common asset (likely generic name)
12.0,0x23683294,594031252,13,sprite,22,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,0,,0,,,,dictionary,floor 13 (medium) | common asset (likely generic name)
12.0,0x292e8480,690914432,13,sprite,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,2,C0186;C0188,0,,,,dictionary,floor 13 (medium) | common asset (likely generic name)
12.0,0x4428c941,1143523649,13,audio,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,0,,0,,,,dictionary,floor 13 (medium) | common asset (likely generic name)
12.0,0x70d006d8,1892681432,13,audio,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,2,C0193;C0290,0,,,,dictionary,floor 13 (medium) | common asset (likely generic name)
12.0,0xb868d0c6,3093876934,13,sprite,23,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,3,C0168;C0235;C0246,1,K0037,,,dictionary,floor 13 (medium) | common asset (likely generic name)
12.0,0xb8700ca1,3094351009,13,sprite,26,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,5,C0004;C0009;C0012;C0070;C0280,0,,,,dictionary,floor 13 (medium) | common asset (likely generic name)
10.0,0x61581a0c,1633163788,16,sprite,8,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL,0,,2,K0024;K0174,,,dictionary,cluster has 1 visual labels
9.0,0x022e3442,36582466,17,sprite,1,WIZZ,1,C0093,1,K0192,,,dictionary,high floor 17 (long name) | single-level (vocab constrained)
9.0,0x06101db0,101719472,17,sprite,1,HEAD,1,C0118,2,K0208;K0212,,,dictionary,high floor 17 (long name) | single-level (vocab constrained)
9.0,0x0b081dbb,185081275,17,sprite,1,HEAD,1,C0124,1,K0120,,,dictionary,high floor 17 (long name) | single-level (vocab constrained)
9.0,0x1a3109b2,439421362,17,sprite,1,HEAD,1,C0122,0,,,,dictionary,high floor 17 (long name) | single-level (vocab constrained)
9.0,0x43234444,1126384708,17,audio,1,GLEN,0,,0,,,,dictionary,high floor 17 (long name) | single-level (vocab constrained)
9.0,0x53af8200,1404011008,17,sprite,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,0,,11,K0002;K0007;K0023;K0026;K0059;K0079;K0310;K0320;K0321;K0333;K0334,,,dictionary,high floor 17 (long name) | cluster has 5 visual labels | common asset (likely generic name)
9.0,0x603588e8,1614121192,17,audio,1,HEAD,2,C0121;C0123,0,,,,dictionary,high floor 17 (long name) | single-level (vocab constrained)
9.0,0x61a91c9c,1638472860,17,sprite,1,BRG1,0,,2,K0056;K0300,,,dictionary,high floor 17 (long name) | single-level (vocab constrained)
9.0,0x62aa1c9c,1655315612,17,sprite,1,BRG1,0,,2,K0057;K0300,,,dictionary,high floor 17 (long name) | single-level (vocab constrained)
9.0,0x662096e9,1713411817,17,audio,1,HEAD,0,,0,,,,dictionary,high floor 17 (long name) | single-level (vocab constrained)
9.0,0x9b2204a0,2602697888,17,sprite,1,BOIL,1,C0076,0,,,,dictionary,high floor 17 (long name) | single-level (vocab constrained)
9.0,0xa9387d8c,2839051660,17,sprite,1,CLOU,0,,1,K0142,,,dictionary,high floor 17 (long name) | single-level (vocab constrained)
9.0,0xb69c8356,3063710550,17,sprite,1,CSTL,1,C0310,2,K0090;K0264,,,dictionary,high floor 17 (long name) | single-level (vocab constrained)
9.0,0xd4865c40,3565575232,17,audio,1,GLID,0,,0,,,,dictionary,high floor 17 (long name) | single-level (vocab constrained)
9.0,0xf033a1e9,4029915625,17,audio,1,HEAD,1,C0120,1,K0144,,,dictionary,high floor 17 (long name) | single-level (vocab constrained)
9.0,0xfb260440,4213572672,17,sprite,1,BOIL,0,,0,,,,dictionary,high floor 17 (long name) | single-level (vocab constrained)
9.0,0x0538a2ea,87597802,18,sprite,1,EGGS,1,C0228,1,K0201,,,dictionary,high floor 18 (long name) | single-level (vocab constrained)
9.0,0x0e3889be,238586302,18,sprite,1,HEAD,1,C0123,0,,,,dictionary,high floor 18 (long name) | single-level (vocab constrained)
9.0,0x323ac9be,842713534,18,sprite,1,HEAD,1,C0150,0,,,,dictionary,high floor 18 (long name) | single-level (vocab constrained)
9.0,0x518b11b2,1368068530,18,sprite,1,FOOD,1,C0136,0,,,,dictionary,high floor 18 (long name) | single-level (vocab constrained)
9.0,0x883d14b4,2285704372,18,sprite,1,WIZZ,0,,1,K0193,,,dictionary,high floor 18 (long name) | single-level (vocab constrained)
9.0,0x8a3809f2,2318928370,18,sprite,1,HEAD,0,,0,,,,dictionary,high floor 18 (long name) | single-level (vocab constrained)
9.0,0xd70880a4,3607658660,18,sprite,1,EGGS,1,C0228,1,K0203,,,dictionary,high floor 18 (long name) | single-level (vocab constrained)
9.0,0x0b290ba2,187239330,19,sprite,1,HEAD,2,C0121;C0123,2,K0208;K0272,,,dictionary,high floor 19 (long name) | single-level (vocab constrained)
9.0,0xc9387d8c,3375922572,19,sprite,1,CLOU,0,,1,K0142,,,dictionary,high floor 19 (long name) | single-level (vocab constrained)
9.0,0xd68e3c40,3599645760,19,audio,1,WEED,0,,0,,,,dictionary,high floor 19 (long name) | single-level (vocab constrained)
9.0,0xf03391e9,4029911529,19,audio,1,HEAD,1,C0120,1,K0144,,,dictionary,high floor 19 (long name) | single-level (vocab constrained)
9.0,0xca223f46,3391242054,20,audio,1,TMPL,0,,0,,,,dictionary,high floor 20 (long name) | single-level (vocab constrained)
9.0,0x35289fae,891854766,22,sprite,1,TMPL,1,C0058,0,,,,dictionary,high floor 22 (long name) | single-level (vocab constrained)
8.0,0x00ce0610,13501968,11,sprite,4,CSTL;FOOD;SEVN;TMPL,0,,4,K0004;K0046;K0145;K0178,,,exhaustive-floor+2,floor 11 (medium)
8.0,0x0408c01e,67682334,11,sprite,4,EVIL;FOOD;MOSS;SOAR,0,,1,K0114,,,exhaustive-floor+2,floor 11 (medium)
8.0,0x06e0a824,115386404,11,audio,6,CAVE;CSTL;EGGS;EVIL;SCIE;WEED,1,C0227,0,,,,exhaustive-floor+2,floor 11 (medium)
8.0,0x09ce0610,164496912,11,sprite,4,CSTL;FOOD;SEVN;TMPL,0,,6,K0004;K0047;K0145;K0179;K0222;K0249,,,exhaustive-floor+2,floor 11 (medium)
8.0,0x0ace0610,181274128,11,sprite,4,CSTL;FOOD;SEVN;TMPL,0,,5,K0004;K0046;K0147;K0180;K0223,,,exhaustive-floor+2,floor 11 (medium)
8.0,0x0cce0610,214828560,11,sprite,4,CSTL;FOOD;SEVN;TMPL,0,,4,K0004;K0047;K0148;K0181,,,exhaustive-floor+2,floor 11 (medium)
8.0,0x1828e640,405333568,11,audio,11,BRG1;CAVE;CRYS;CSTL;EGGS;EVIL;FOOD;MEGA;PHRO;SCIE;TMPL,0,,4,K0092;K0101;K0106;K0111,,,exhaustive-floor+2,floor 11 (medium)
8.0,0x18ce0610,416155152,11,sprite,4,CSTL;FOOD;SEVN;TMPL,0,,4,K0004;K0047;K0147;K0222,,,exhaustive-floor+2,floor 11 (medium)
8.0,0x392cb014,959229972,11,sprite,19,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,1,C0225,0,,,,exhaustive-floor+2,floor 11 (medium)
8.0,0x40c0d0e4,1086378212,11,audio,4,CAVE;EGGS;GLID;WEED,0,,0,,,,exhaustive-floor+2,floor 11 (medium)
8.0,0x4260c8b5,1113639093,11,sprite,12,BOIL;CRYS;FOOD;HEAD;MEGA;PHRO;SCIE;SEVN;SNOW;TMPL;WEED;WIZZ,0,,0,,,,exhaustive-floor+2,floor 11 (medium)
8.0,0x48608484,1214284932,11,sprite,12,BOIL;CRYS;FOOD;HEAD;MEGA;PHRO;SCIE;SEVN;SNOW;TMPL;WEED;WIZZ,0,,0,,,,exhaustive-floor+2,floor 11 (medium)
8.0,0x5d40a249,1564516937,11,audio,7,BOIL;BRG1;FOOD;MEGA;PHRO;SCIE;SNOW,0,,0,,,,exhaustive-floor+2,floor 11 (medium)
8.0,0x82886816,2189977622,11,sprite,10,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED,1,C0154,0,,,,exhaustive-floor+2,floor 11 (medium)
8.0,0xf8494814,4165552148,11,sprite,4,CAVE;EGGS;GLID;WEED,0,,0,,,,exhaustive-floor+2,floor 11 (medium)
8.0,0x000ac607,706055,12,sprite,20,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLID;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED,0,,0,,,,dictionary,floor 12 (medium)
8.0,0x08814c64,142691428,12,sprite,13,BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;GLID;MOSS;SEVN;SOAR;WEED;WIZZ,1,C0170,0,,,,dictionary,floor 12 (medium)
8.0,0x09406d8a,155217290,12,sprite,16,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;MOSS;PHRO;SCIE;SNOW;TMPL;WEED,1,C0014,0,,,,dictionary,floor 12 (medium)
8.0,0x1c8c2437,478946359,12,sprite,10,CLOU;CRYS;CSTL;EGGS;EVIL;MOSS;SEVN;SOAR;WEED;WIZZ,1,C0222,0,,,,dictionary,floor 12 (medium)
8.0,0x1e28e0d4,505995476,12,sprite,17,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MOSS;SEVN;SNOW;SOAR;WEED;WIZZ,3,C0166;C0167;C0205,0,,,,dictionary,floor 12 (medium)
8.0,0x22a4aa42,581216834,12,audio,5,BRG1;CAVE;CRYS;SNOW;SOAR,0,,0,,,,dictionary,floor 12 (medium)
8.0,0x3a186940,974678336,12,sprite,4,CAVE;EGGS;GLID;WEED,0,,1,K0125,,,dictionary,floor 12 (medium)
8.0,0x3a186980,974678400,12,sprite,4,CAVE;EGGS;GLID;WEED,0,,1,K0125,,,dictionary,floor 12 (medium)
8.0,0x42906465,1116759141,12,audio,18,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;FOOD;GLID;MENU;MOSS;PHRO;RUNN;SCIE;SNOW;SOAR;TMPL;WEED,2,C0030;C0277,0,,,,dictionary,floor 12 (medium)
8.0,0x4348b052,1128837202,12,audio,10,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED,0,,0,,,,dictionary,floor 12 (medium)
8.0,0x54608016,1415610390,12,sprite,10,BOIL;CAVE;EVIL;FOOD;HEAD;MEGA;PHRO;SCIE;SNOW;TMPL,0,,0,,,,dictionary,floor 12 (medium)
8.0,0x80729081,2154991745,12,sprite,6,BRG1;GLID;SCIE;SNOW;TMPL;WEED,1,C0073,0,,,,dictionary,floor 12 (medium)
8.0,0x880161a7,2281791911,12,sprite,16,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;MOSS;PHRO;SCIE;SNOW;TMPL;WEED,0,,0,,,,dictionary,floor 12 (medium)
8.0,0x8a7ce022,2323439650,12,sprite,4,GLID;SCIE;SOAR;TMPL,0,,0,,,,dictionary,floor 12 (medium)
8.0,0x980861a3,2550686115,12,sprite,16,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;MOSS;PHRO;SCIE;SNOW;TMPL;WEED,0,,0,,,,dictionary,floor 12 (medium)
8.0,0x9d406340,2638242624,12,audio,12,BOIL;CRYS;FOOD;HEAD;MEGA;PHRO;SCIE;SEVN;SNOW;TMPL;WEED;WIZZ,0,,0,,,,dictionary,floor 12 (medium)
8.0,0xa9228088,2837610632,12,sprite,5,BRG1;CAVE;CRYS;SNOW;SOAR,0,,0,,,,dictionary,floor 12 (medium)
